closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume,open_interest
1751490000024,1.25e-05,0.10950000000000001,-0.0003849196,109617.0,109125.0,997.53318,
1751493600038,1.14215e-05,0.10005234000000002,-0.0004086282,109126.0,109407.0,588.96775,
1751497200063,1.25e-05,0.10950000000000001,-0.0002569262,109407.0,109113.0,637.95474,
1751500800130,1.25e-05,0.10950000000000001,-0.0002146729,109114.0,108808.0,1394.37181,
1751504400011,1.25e-05,0.10950000000000001,-0.0002166091,108809.0,108907.0,735.19395,
1751508000048,1.25e-05,0.10950000000000001,-0.0002178481,108908.0,108960.0,570.08644,
1751511600081,1.25e-05,0.10950000000000001,-0.0002804005,108961.0,108694.0,1266.88285,
1751515200066,1.25e-05,0.10950000000000001,-0.0002539864,108695.0,108605.0,413.35038,
1751518800012,1.25e-05,0.10950000000000001,-0.0002765439,108606.0,108754.0,288.73537,
1751522400001,1.25e-05,0.10950000000000001,-0.0002356914,108755.0,109311.0,643.91966,
1751526000033,1.25e-05,0.10950000000000001,-0.0002977972,109311.0,109430.0,644.24703,
1751529600051,1.25e-05,0.10950000000000001,-0.000338391,109430.0,109271.0,398.78494,
1751533200047,1.25e-05,0.10950000000000001,-0.0002965023,109271.0,109348.0,431.48358,
1751536800042,1.25e-05,0.10950000000000001,-0.0001915385,109348.0,109920.0,2040.67748,
1751540400013,1.25e-05,0.10950000000000001,-0.000267584,109921.0,109810.0,544.51224,
1751544000051,1.25e-05,0.10950000000000001,-0.0002922079,109811.0,109560.0,784.14573,
1751547600047,1.25e-05,0.10950000000000001,-0.0002073327,109560.0,109152.0,3011.47399,
1751551200079,1.25e-05,0.10950000000000001,-9.39312e-05,109152.0,110250.0,3306.85979,
1751554800007,1.25e-05,0.10950000000000001,-0.0002378179,110251.0,109686.0,2940.73864,
1751558400045,1.25e-05,0.10950000000000001,-0.0003438649,109687.0,109088.0,1677.32218,
1751562000034,1.25e-05,0.10950000000000001,-0.0003752487,109088.0,109230.0,1446.09948,
1751565600053,1.25e-05,0.10950000000000001,-0.0003805973,109229.0,109493.0,515.34361,
1751569200011,8.7458e-06,0.076613208,-0.0004300334,109493.0,109622.0,788.09876,
1751572800054,1.25e-05,0.10950000000000001,-0.0003419716,109625.0,109761.0,1214.76404,
