closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume
1750280400006,1.25e-05,0.10950000000000001,-0.0003559246,2.1396,2.1723,4551201.0
1750284000041,1.07462e-05,0.094136712,-0.0004140301,2.1725,2.1737,2270431.0
1750287600066,1.25e-05,0.10950000000000001,-0.0003134425,2.1743,2.1683,664227.0
1750291200047,1.25e-05,0.10950000000000001,-0.0003096952,2.1683,2.1702,1327243.0
1750294800052,1.25e-05,0.10950000000000001,-0.0003119515,2.1693,2.1756,1408692.0
1750298400022,1.25e-05,0.10950000000000001,-0.0002960169,2.1756,2.1603,348045.0
1750302000039,1.25e-05,0.10950000000000001,-0.0002925624,2.1602,2.1591,199417.0
1750305600079,1.25e-05,0.10950000000000001,-0.000248975,2.1588,2.166,242935.0
1750309200009,1.25e-05,0.10950000000000001,-0.0002151057,2.1663,2.1678,2750481.0
1750312800005,1.25e-05,0.10950000000000001,-0.0001451532,2.1678,2.1652,228654.0
1750316400071,1.25e-05,0.10950000000000001,-0.0002196466,2.1652,2.1546,151750.0
1750320000036,1.25e-05,0.10950000000000001,-0.0002466642,2.1545,2.1561,135342.0
1750323600002,1.25e-05,0.10950000000000001,-0.00020437,2.1561,2.1566,61669.0
1750327200081,1.25e-05,0.10950000000000001,-0.0001812178,2.1566,2.1632,88468.0
1750330800024,1.25e-05,0.10950000000000001,-0.0001517415,2.163,2.1601,457518.0
1750334400042,1.25e-05,0.10950000000000001,-0.0002351519,2.1596,2.1516,1050394.0
1750338000015,1.25e-05,0.10950000000000001,-0.0002413445,2.1512,2.1537,887191.0
1750341600064,1.25e-05,0.10950000000000001,-0.0003008804,2.1538,2.1485,775746.0
1750345200017,1.25e-05,0.10950000000000001,-0.0003065818,2.1479,2.1471,973819.0
1750348800041,1.25e-05,0.10950000000000001,-0.0003551239,2.1468,2.1446,1370870.0
1750352400007,1.25e-05,0.10950000000000001,-0.0002381517,2.1451,2.1565,2820329.0
1750356000012,1.25e-05,0.10950000000000001,-0.0001192742,2.1577,2.1682,5582813.0
1750359600010,1.25e-05,0.10950000000000001,-0.0002569784,2.1682,2.1717,258062.0
1750363200009,1.25e-05,0.10950000000000001,-0.000113321,2.1717,2.172,1354752.0
1750366800013,1.25e-05,0.10950000000000001,-0.0001468844,2.1719,2.165,402525.0
1750370400020,1.25e-05,0.10950000000000001,-0.0001261523,2.1644,2.1613,508771.0
1750374000094,1.25e-05,0.10950000000000001,-0.0001529791,2.1624,2.1651,204018.0
1750377600010,1.25e-05,0.10950000000000001,-0.0001422007,2.1653,2.1642,337665.0
1750381200041,1.25e-05,0.10950000000000001,-0.0001745529,2.1642,2.1703,181040.0
1750384800037,1.25e-05,0.10950000000000001,-0.0001967035,2.1702,2.1667,666989.0
1750388400001,1.25e-05,0.10950000000000001,-0.0001841658,2.1676,2.1632,711635.0
1750392000051,1.25e-05,0.10950000000000001,-0.000312471,2.1632,2.1538,2360680.0
1750395600001,1.07223e-05,0.093927348,-0.0004142212,2.1541,2.1455,1468421.0
1750399200010,3.6395e-06,0.031882020000000004,-0.0004708837,2.1457,2.15,2704829.0
1750402800184,1.25e-05,0.10950000000000001,-0.000343083,2.1499,2.1446,1180289.0
1750406400051,1.25e-05,0.10950000000000001,-0.0003045836,2.1441,2.1649,861551.0
1750410000015,1.25e-05,0.10950000000000001,-0.00027544,2.1666,2.1666,1553784.0
1750413600061,1.12978e-05,0.098968728,-0.0004096175,2.1664,2.1693,345382.0
1750417200044,1.25e-05,0.10950000000000001,-0.0003484991,2.1693,2.1714,94977.0
1750420800061,1.25e-05,0.10950000000000001,-0.0003566979,2.1712,2.1718,204246.0
1750424400035,1.25e-05,0.10950000000000001,-0.0003096901,2.1719,2.1718,260314.0
1750428000039,1.25e-05,0.10950000000000001,-0.0003617747,2.172,2.1632,1752648.0
1750431600025,3.5542e-06,0.031134792,-0.0004715663,2.1626,2.1346,1358675.0
1750435200037,-1.26036e-05,-0.110407536,-0.0006008287,2.1341,2.1319,4582913.0
1750438800001,-9.7406e-06,-0.085327656,-0.0005779249,2.1325,2.1201,2577752.0
1750442400003,-6.9051e-06,-0.060488676000000005,-0.0005552408,2.1206,2.1172,4601429.0
1750446000018,-2.4162e-06,-0.021165912,-0.0005193293,2.1164,2.1236,1899368.0
1750449600100,-1.26297e-05,-0.110636172,-0.0006010376,2.1248,2.128,4155712.0
1750453200016,8.4777e-06,0.074264652,-0.0004321783,2.128,2.1334,3072783.0
